Station,Date,Time,Temp,pH,SpCond,TDS,Redox,DO_mgL,DO_Sat,Depth_m,Chlorophyll-a_ugL,Salinity_psu,Year
Arctic Inflow 3,4/15/2024,10:25,12.711,6.941,576.2,0.369,356,2.316,22.59,0.1686,7.679,0.28,24
Arctic Inflow 3,4/29/2024,10:28,10.13272727,7.022727273,509.5454545,0.326181818,428.4545455,4.270909091,39.9,0.486818182,15.11272727,0.25,24
Arctic Inflow 3,5/13/2024,9:57,17.21222222,6.752222222,755.7777778,0.483666667,272.1111111,1.211111111,13.13333333,0.399888889,15.97111111,0.37,24
Arctic Inflow 3,5/22/2024,10:20,16.222,6.951,392,0.251,284.5,2.676,28.5,0.4976,17.942,0.19,24
Arctic Inflow 3,6/10/2024,9:28,16.4375,6.449166667,838.0833333,0.536416667,308.25,0.204166667,2.141666667,0.406833333,5.841666667,0.415,24
Arctic Inflow 3,6/25/2024,10:42,24.49090909,7.193636364,499.1818182,0.319363636,344.7272727,1.271818182,15.90909091,0.229090909,8.733636364,0.24,24
Arctic Inflow 3,7/1/2024,10:20,19.45818182,6.945454545,622.2727273,0.398272727,227.6363636,0.98,10.99090909,0.307727273,,0.3,24
Arctic Inflow 3,7/17/2024,9:33,16.62181818,6.782727273,966.8181818,0.618636364,191.9090909,0.266363636,2.818181818,0.583454545,,0.480909091,24
Arctic Inflow 3,7/29/2024,9:39,18.274,6.826,976.7,0.625,150.6,0.114,1.25,0.6112,,0.489,24
Arctic Inflow 3,8/12/2024,9:50,15.874,7.023,642.5,0.4112,310.5,0.191,1.99,0.1659,,0.317,24
Arctic Inflow 3,8/22/2024,9:20,15.96133333,6.776,1037.133333,0.663666667,112.1333333,0.097333333,1.053333333,0.5614,,0.52,24
Arctic Inflow 3,9/11/2024,9:49,16.144,6.808,987.5,0.6321,141.5,0.267,2.83,0.402,,0.49,24
Arctic Inflow 3,9/23/2024,10:26,13.302,6.784,862.7,0.5522,150.1,0.098,0.96,0.3987,,0.43,24
Arctic Inflow 3,10/8/2024,10:07,9.894,6.684,1024.7,0.6557,295.5,0.324,2.97,0.0723,,0.514,24
Arctic Inflow 3,10/24/2024,10:20,9.711,6.427,1137.1,0.7277,145,0.08,0.71,0.3045,,0.573,24
Arctic Lake E Deep,4/15/2024,11:00,7.674,7.05,528.9,0.3384,267.5,0.101,0.88,9.6196,0,0.26,24
Arctic Lake E Deep,4/29/2024,11:05,8.883,7.122,562.1,0.3595,144.9,0.085,0.78,9.5525,0.483,0.279,24
Arctic Lake E Deep,5/13/2024,10:39,11.667,7.322,555.8,0.3556,27.7,0.072,0.7,9.5978,42.401,0.274,24
Arctic Lake E Deep,5/22/2024,10:59,11.504,7.245,544.9,0.3488,57.2,0.087,0.83,9.6098,5.225,0.269,24
Arctic Lake E Deep,6/10/2024,10:13,13.293,7.209,673.3,0.4308,24.1,0.058,0.58,9.2734,1.284,0.33,24
Arctic Lake E Deep,6/25/2024,12:09,17.384,7.134,573.2,0.3668,-42.4,0.024,0.26,8.741,20.633,0.279,24
Arctic Lake E Deep,7/1/2024,11:00,12.705,6.861,646.9,0.4142,121.1,0.042,0.4,9.3079,,0.32,24
Arctic Lake E Deep,7/17/2024,10:15,15.68,6.877,670,0.4288,100.7,0.046,0.49,8.8756,,0.33,24
Arctic Lake E Deep,7/29/2024,10:18,16.67636364,6.748181818,669.9090909,0.428727273,99.54545455,0.048181818,0.5,9.410454545,,0.33,24
Arctic Lake E Deep,8/12/2024,10:47,15.31857143,6.691428571,715.0714286,0.457642857,93.85714286,0.052857143,0.535714286,9.262357143,,0.353571429,24
Arctic Lake E Deep,8/22/2024,10:25,15.33230769,6.666153846,765.6923077,0.490076923,63.46153846,0.041538462,0.415384615,9.499307692,,0.38,24
Arctic Lake E Deep,9/11/2024,10:43,17.61833333,6.754166667,745.1666667,0.476833333,84.83333333,0.041666667,0.475,9.575666667,,0.37,24
Arctic Lake E Deep,9/23/2024,10:53,17.485,6.544,797.1,0.5103,84.5,0.044,0.48,9.4737,,0.394,24
Arctic Lake E Deep,10/8/2024,11:22,16.114,7.305,746.1,0.4773,62.6,0.283,2.99,8.849,,0.368,24
Arctic Lake E Deep,10/24/2024,10:47,12.90388889,7.14,525.5,0.336277778,150.6111111,0.502777778,4.944444444,9.512333333,,0.257222222,24
Arctic Lake E Surface,4/15/2024,10:57,13.033,7.804,520.7,0.333,297.1,13.535,132.94,1.0122,76.868,0.25,24
Arctic Lake E Surface,4/29/2024,11:00,11.202,8.003,522,0.334,404,9.108,86.96,1.0574,48.248,0.26,24
Arctic Lake E Surface,5/13/2024,10:37,18.574,7.707,538.6,0.3448,337.5,8.35,92.98,1.0042,9.101,0.26,24
Arctic Lake E Surface,5/22/2024,10:56,19.504,7.941,529.5,0.3389,340.5,7.832,89.3,0.8869,14.149,0.26,24
Arctic Lake E Surface,6/10/2024,10:11,21.702,8.144,515,0.3299,342.2,8.919,104.72,1.0892,9.843,0.25,24
Arctic Lake E Surface,6/25/2024,12:06,25.697,8.105,499,0.3194,300.5,11.066,141.55,0.759,15.795,0.24,24
Arctic Lake E Surface,7/1/2024,10:57,22.57133333,8.112,506.6666667,0.323866667,325.7333333,8.742666667,104.1333333,1.011333333,,0.249333333,24
Arctic Lake E Surface,7/17/2024,10:11,24.89933333,8.208666667,486,0.311,301.4666667,6.982666667,87.00666667,0.963533333,,0.235333333,24
Arctic Lake E Surface,7/29/2024,10:16,26.52454545,8.540909091,475,0.304,348.7272727,8.073636364,104.6636364,1.064818182,,0.23,24
Arctic Lake E Surface,8/12/2024,10:44,22.55928571,7.998571429,480.9285714,0.307928571,320,7.755,92.35714286,0.986285714,,0.23,24
Arctic Lake E Surface,8/22/2024,10:21,23.162,8.074,444.1,0.284,225.7,7.227,87.05,0.992,,0.21,24
Arctic Lake E Surface,9/11/2024,10:40,21.55,7.769333333,456,0.292,229.2,4.249333333,50.01333333,1.063133333,,0.22,24
Arctic Lake E Surface,9/23/2024,10:50,21.419,7.713,460,0.295,309.9,3.47,40.59,0.9705,,0.22,24
Arctic Lake E Surface,10/8/2024,11:18,16.586,7.885,469,0.3,360.8,8.378,88.83,0.487,,0.23,24
Arctic Lake E Surface,10/24/2024,10:45,13.599,8.184,464,0.297,292.5,10.451,104.11,1.0635,,0.23,24
Arctic Outflow,4/15/2024,11:41,12.975,7.781,533,0.341,276.4,9.783,95.96,0.2344,36.836,0.26,24
Arctic Outflow,4/29/2024,11:53,11.321,8.149,521,0.334,324.8,9.818,93.98,0.273,48.614,0.26,24
Arctic Outflow,5/13/2024,11:19,18.601,7.721,537,0.344,239.9,5.345,59.56,0.1631,12.839,0.26,24
Arctic Outflow,5/22/2024,11:34,19.721,7.932,534.1,0.342,290,7.659,87.7,0.1641,9.483,0.26,24
Arctic Outflow,6/10/2024,10:59,23.08454545,8.068181818,505.0909091,0.323363636,247.1818182,5.692727273,68.64545455,0.065,9.950909091,0.243636364,24
Arctic Outflow,6/25/2024,12:25,25.92285714,8.305,500,0.32,212.5714286,13.40428571,172.1214286,0.126428571,16.94142857,0.24,24
Arctic Outflow,7/1/2024,11:38,22.819,8.116,509,0.3256,262,8.685,103.99,0.0711,,0.25,24
Arctic Outflow,7/17/2024,10:48,22.63571429,7.693571429,496.5714286,0.318,184,1.254285714,14.97857143,0.319,,0.24,24
Arctic Outflow,7/29/2024,10:52,25.88272727,7.52,467.8181818,0.299454545,172.2727273,0.577272727,7.418181818,0.404272727,,0.23,24
Arctic Outflow,8/12/2024,11:05,22.235,7.497,495.5,0.317,226.8,0.5,5.94,0.2205,,0.24,24
Arctic Outflow,8/22/2024,10:53,21.952,8,446.3,0.286,176,6.09,71.69,0.2114,,0.22,24
Arctic Outflow,9/11/2024,11:03,20.259,7.676,460.4,0.295,169.1,3.012,34.55,0.1609,,0.22,24
